Placement,Name,Score
875,Jon,17:42.283
876,Henricsan,17:42.283
877,Szabesz07,17:42.467
878,TTV SigwilKat,17:42.566
879,Pam,17:42.766
880,Moffin_Man_0,17:42.816
881,lncht_mn,17:43
882,Oliczopl,17:43
883,Lord Scorcher,17:43.3
884,Player,17:44.484
885,Jeroonie_XD,17:44.7
886,Ferocious,17:44.866
887,Super wizard,17:45
888,TTT,17:45.317
889,Jethro Pidd,17:45.483
890,MWBLUE,17:45.516
891,J43,17:45.566
892,AchievementPlz,17:46.034
893,doggo,17:46.067
894,mrm,17:46.233
895,TopFreezer6240,17:46.366
896,BossDad,17:46.45
897,kieranisagun117,17:46.583
898,Fern,17:46.683
899,MamaParagonT,17:46.883
900,Player660446,17:47.584
901,sammy-7777,17:47.717
902,seve25,17:47.75
903,zelikovsergej51,17:47.967
904,Hwickham17,17:48.083
905,Player4745018,17:48.133
906,Krsnik,17:48.85
907,Rob,17:49.017
908,Justin,17:49.05
909,Alm_ostAlive,17:49.233
910,hoodieboosie,17:50.617
911,kostickwho,17:50.7
912,Bellair,17:50.75
913,Luke,17:51.1
914,Jagaimo1,17:51.434
915,MamaWin,17:51.65
916,UpsetDominance1,17:51.984
917,Harold,17:53.067
918,Bash,17:53.2
919,Kotori Minase,17:53.25
920,JudgmentalHat31,17:53.7
921,Admiral Stark,17:53.75
922,Skil9,17:53.817
923,Spritzbeutel,17:55.383
924,Dycha90,17:55.6
925,Faustino,17:55.717
926,wall546speedy,17:56.083
927,majorstudconan,17:56.316
928,Swap,17:56.4
929,DePressEdd_R,17:56.817
930,Hiquerobocop,17:57.017
931,Aminam,17:57.35
932,Bagooner,17:57.833
933,THE_MOOG,17:58.234
934,Redy the bird,17:58.65
935,Tyler,17:58.716
936,tasiks01,17:58.933
937,yerymay,17:59.116
938,notzzzimi,17:59.367
939,L14m_G413,17:59.533
940,Kiyo,18:00.267
941,FallunTomato,18:00.917
942,Funis,18:01.5
943,Kayou04,18:01.55
944,thatnuhasguy,18:01.85
945,therealllamait,18:01.95
946,Kibi,18:02.816
947,Bails_7090,18:02.817
948,Snoopy,18:02.85
949,Babaeli,18:03.017
950,Matt,18:03.683
951,CELBITE,18:04.017
952,Ballerman,18:04.484
953,Simonn,18:04.933
954,NinjaFreezer85,18:05.4
955,CaptainMarvelDC,18:05.4
956,Enderman942,18:06.066
957,Giorgos,18:06.117
958,plleniwiec,18:06.45
959,Radek,18:06.534
960,DartPhoenix337,18:06.55
961,biddyboi,18:06.666
962,Player,18:07.417
963,IceWizard11383,18:07.716
964,EizzyOriginal,18:07.734
965,Dorian Gray,18:08.183
966,vev,18:08.65
967,gjy199811,18:08.783
968,_aaaa_27,18:08.784
969,NYXILE,18:08.967
970,TioPatinhas,18:09.017
971,Bopo,18:09.65
972,dezzinh00,18:10.5
973,ShangusKhan,18:10.984
974,L,18:11.133
